SpineBase;;;SpineMid;;;Neck;;;Head;;;ShoulderLeft;;;ElbowLeft;;;WristLeft;;;HandLeft;;;ShoulderRight;;;ElbowRight;;;WristRight;;;HandRight;;;HipLeft;;;KneeLeft;;;AnkleLeft;;;FootLeft;;;HipRight;;;KneeRight;;;AnkleRight;;;FootRight;;;SpineShoulder;;;HandTipLeft;;;ThumbLeft;;;HandTipRight;;;ThumbRight;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
0.3823754;0.05066095;4.212344;0.3783366;0.3774322;4.189387;0.3742821;0.6976743;4.153975;0.3814374;0.8397835;4.121146;0.1866179;0.5981072;4.181679;0.1056867;0.3514967;4.208901;0.133054;0.1214605;4.171773;0.1571945;0.03834715;4.152604;0.5661032;0.5819153;4.155188;0.6401808;0.3353074;4.201679;0.6176654;0.06612639;4.156837;0.5981491;0.01629237;4.151121;0.2958352;0.05008598;4.183838;0.2861646;-0.3233258;4.264147;0.325559;-0.6877294;4.362246;0.3223394;-0.762831;4.277915;0.4627666;0.05034398;4.169503;0.4679739;-0.3223354;4.257937;0.4513889;-0.6780283;4.364467;0.4454054;-0.7604419;4.270114;0.3754106;0.618548;4.165118;0.1753165;-0.0436841;4.143746;0.1984233;0.05239012;4.135478;0.5948894;-0.05619356;4.151133;0.6356397;0.01579008;4.129154;
0.3827034;0.04992934;4.211401;0.3793246;0.376806;4.188072;0.3758335;0.6973358;4.15244;0.382511;0.8394741;4.118471;0.1888636;0.5955376;4.179054;0.1070156;0.3516659;4.208505;0.1333971;0.1215406;4.171569;0.1575465;0.03870901;4.15041;0.5671429;0.5809589;4.15397;0.6410357;0.3380707;4.199776;0.6183985;0.06575415;4.156066;0.5960723;0.0148569;4.148649;0.2960636;0.04950834;4.182678;0.2863256;-0.3233256;4.263904;0.3256644;-0.6875861;4.361923;0.3223233;-0.7628283;4.277903;0.4631369;0.0494824;4.168807;0.4693569;-0.3217325;4.257005;0.4513603;-0.6805938;4.36003;0.4454506;-0.7610902;4.270048;0.3768392;0.6181184;4.163615;0.1675002;-0.04213336;4.149461;0.1978817;0.05092134;4.131496;0.5625238;-0.07955436;4.129422;0.6267984;0.005384291;4.124227;
0.3828384;0.04988018;4.210934;0.3794658;0.3768897;4.187438;0.375854;0.6976061;4.151723;0.3831156;0.8403494;4.117546;0.1891543;0.5957896;4.178822;0.1075608;0.3526585;4.208203;0.1338238;0.1217491;4.170747;0.1566411;0.03987809;4.150412;0.5673216;0.5809855;4.153895;0.6406947;0.3329456;4.198025;0.6188715;0.06619819;4.156013;0.5970604;0.01766075;4.14797;0.2961243;0.04957907;4.182037;0.2864896;-0.3233807;4.263684;0.3252412;-0.6848165;4.364133;0.3216567;-0.7619311;4.27782;0.4633025;0.04934579;4.1685;0.4701272;-0.3217753;4.256988;0.4506638;-0.6799805;4.36035;0.4474412;-0.7610078;4.268075;0.3768997;0.6183366;4.162913;0.1742057;-0.04233085;4.143032;0.1967369;0.05355992;4.132122;0.5939627;-0.054359;4.134161;0.6229361;-0.01776863;4.121875;
0.3832711;0.04949947;4.210402;0.3804348;0.3764181;4.186636;0.3772728;0.6971303;4.150771;0.3843457;0.8408777;4.116037;0.1897314;0.5960111;4.178566;0.1078458;0.354303;4.207894;0.1342207;0.1218339;4.170812;0.1586809;0.04182248;4.153105;0.5682966;0.5808936;4.153097;0.6409231;0.3344246;4.197379;0.6199654;0.06466263;4.155933;0.5954127;0.01261606;4.150001;0.2964217;0.04934468;4.181745;0.2870487;-0.3237807;4.263822;0.3253203;-0.6849217;4.364265;0.3220171;-0.7615614;4.277771;0.4638328;0.04880983;4.167735;0.4715513;-0.320215;4.256134;0.4480942;-0.6849338;4.358339;0.4480587;-0.7610885;4.26824;0.3782191;0.6178527;4.161984;0.1672516;-0.03428017;4.139397;0.1984181;0.04160556;4.128767;0.6028742;-0.05720555;4.137574;0.630219;0.01845936;4.12177;
0.3834287;0.04944221;4.210115;0.3809748;0.3765323;4.185791;0.378224;0.6975944;4.149215;0.3843262;0.8404937;4.115733;0.1900826;0.5963998;4.178357;0.1084968;0.3535152;4.207697;0.134798;0.1218368;4.170429;0.1585206;0.03651403;4.152176;0.5685686;0.5808941;4.152672;0.6406347;0.3340299;4.196342;0.6201163;0.06454982;4.155536;0.5962824;0.0115025;4.148338;0.2964676;0.04929218;4.181628;0.2875475;-0.325333;4.263293;0.3255779;-0.6857182;4.364018;0.3218156;-0.7617568;4.277739;0.4641278;0.04876958;4.167252;0.4726545;-0.3194443;4.255597;0.4487343;-0.6840989;4.358349;0.4478714;-0.7607838;4.267997;0.3790691;0.6182136;4.160614;0.1707027;-0.04600343;4.15114;0.1983981;0.05790304;4.1304;0.5862929;-0.06660669;4.139246;0.6282451;0.004239006;4.123288;
0.383711;0.04918792;4.20977;0.3813016;0.3763834;4.18471;0.3783815;0.6976905;4.147049;0.3844931;0.8403085;4.115231;0.1903322;0.596701;4.178196;0.1113116;0.3429516;4.20531;0.1352183;0.1217022;4.169845;0.158638;0.04006889;4.151;0.5685652;0.5808195;4.151478;0.6407806;0.3329231;4.195337;0.6202683;0.0644752;4.154324;0.5966448;0.01419545;4.142911;0.2966306;0.04915936;4.181431;0.2884659;-0.3253266;4.261066;0.3257421;-0.6862319;4.363266;0.3216629;-0.7617273;4.277717;0.46451;0.04837891;4.16678;0.4736582;-0.3201627;4.254384;0.4483522;-0.6840102;4.358355;0.4479449;-0.7610707;4.268648;0.3792925;0.6182341;4.15875;0.1712806;-0.04279765;4.15629;0.1986419;0.05302441;4.132226;0.5922197;-0.05781008;4.142128;0.6290857;0.005360467;4.120743;
0.3840649;0.04841927;4.206268;0.3812633;0.3758208;4.180188;0.3776959;0.6973332;4.141851;0.38474;0.8383464;4.109197;0.1874862;0.5955926;4.173872;0.1116615;0.3398586;4.203555;0.1353419;0.1192796;4.167517;0.15742;0.03845495;4.14361;0.5668663;0.5821818;4.144508;0.6396539;0.3288468;4.190938;0.6206858;0.06339553;4.151908;0.5975651;0.0130723;4.138323;0.2968169;0.04795592;4.177361;0.2876437;-0.3291579;4.25258;0.325959;-0.6863711;4.362755;0.3219026;-0.7613601;4.277682;0.4649354;0.04800549;4.163918;0.4728562;-0.3257214;4.241003;0.4485846;-0.6829985;4.356884;0.4470201;-0.7607355;4.268204;0.3787817;0.6178283;4.153689;0.1731326;-0.04552146;4.147366;0.1999574;0.06754001;4.1241;0.5923834;-0.05784045;4.125768;0.6306146;0.005976337;4.108312;
0.3823072;0.04722125;4.203777;0.3805197;0.3747271;4.177672;0.3777677;0.696223;4.139295;0.3828331;0.8374137;4.104937;0.1871388;0.5956377;4.170528;0.1114307;0.3388482;4.20278;0.1351358;0.118349;4.166085;0.1544476;0.04028919;4.140357;0.5666128;0.5799641;4.139474;0.6386352;0.32696;4.187485;0.6204612;0.06400484;4.144083;0.5957397;0.009929712;4.135044;0.295134;0.04689391;4.175498;0.2848908;-0.331917;4.247046;0.3260127;-0.6865236;4.362362;0.322657;-0.7610739;4.278172;0.4631159;0.04670346;4.160778;0.4713584;-0.3315133;4.229;0.4508553;-0.6846538;4.352241;0.4482182;-0.7610793;4.265776;0.378655;0.6167318;4.151147;0.1669774;-0.04199865;4.136461;0.2002512;0.07193416;4.118625;0.5771857;-0.07764604;4.127583;0.627652;-0.005737962;4.116231;
0.3809155;0.04585373;4.199929;0.3792798;0.3733395;4.17395;0.3766755;0.6948286;4.135945;0.3820073;0.836918;4.102915;0.185293;0.5929271;4.167737;0.1105933;0.3370377;4.20194;0.1334409;0.1166989;4.16318;0.1528556;0.03730246;4.137579;0.5653235;0.5786741;4.132791;0.6377085;0.3266872;4.18419;0.6204056;0.06391722;4.142795;0.5967425;0.0108642;4.129326;0.293691;0.04555409;4.172931;0.2816957;-0.3319941;4.246613;0.3261957;-0.6863937;4.362364;0.3214496;-0.7617764;4.278705;0.4618255;0.04538486;4.155432;0.4686488;-0.333823;4.209794;0.4485822;-0.6879697;4.345342;0.4478495;-0.7622423;4.262739;0.3775249;0.615337;4.147686;0.1642423;-0.04481449;4.128733;0.1953979;0.05246215;4.114733;0.5744468;-0.06609526;4.107917;0.6264586;-0.007221066;4.104117;
